,"Riverside, CA - All Homes",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
0,Statistic,,,Zillow Home Value Index,,,,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,,Rent estimate / sq. ft. ($),,,
1,Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
2,Riverside,city,All Homes,409300,-0.001950743721043648,0,0.040946083418107834,0.0728,0.0594,0.16010000000000002,0.012442108654505013,-0.011836927295714013,0.017255216693418996,257,-0.0038759689922480624,0,0.0321285140562249,0.0198,-0.001031353135313602,0.0003482564801971,-0.0016153347015787011,430000,-0.011369253583786456,-0.01376146788990826,-0.021615472127417525,402100,-0.0014899428855227217,-0.018310546875,0.0037443834248627058,245,-0.006950427750568187,0.00922673089984014,0.026186579378064963,2100,0.00963855421686747,0.029484029484029485,0.02195121951219512,1.332,0.013917878437308025,0.023730705642539186,0.04357074128620324,---,---,---,---,2045,0.007389162561576354,0.012376237623762377,0.05794102431453699,1.374,0.0058565153733528596,0.010294117647058832,0.05529953917050696
3,92501,zipcode,All Homes,347600,-0.002296211251435132,0.004624277456647399,0.056856187290969896,0.0889,0.0664,0.1333,-0.06919831223628697,-0.053333333333333996,0.004301075268817005,260,-0.003831417624521072,0.003861003861003861,0.04838709677419355,0.0132,-0.005648466562710099,-0.0003381225370287999,0.00047401172450489915,377000,-0.0011922108888594515,0.012216404886561954,0.07714285714285714,---,---,---,---,255,0,-0.031038276563820442,-0.0522162616684635,1950,0.08333333333333331,0.11428571428571428,0.02631578947368421,---,---,---,---,---,---,---,---,1919,0.0036610878661087866,0.004186289900575615,0.08295711060948081,1.4240000000000002,0.002816901408450707,0,0.07878787878787868
4,92503,zipcode,All Homes,397300,-0.003511412089290193,-0.002009545340366742,0.047179757511860834,0.07680000000000001,0.067,0.18030000000000002,0.0037044922290820283,0.007371894009691999,0.03239887476961901,265,-0.0037593984962406013,0.003787878787878788,0.043307086614173235,0.0176,0.0011211623908551015,-0.003677781694467801,-8.898830704289872e-05,439900,-0.013944647304206706,0.011264367816091954,0.0375,400500,0.0035078927587070905,0.018047788510421964,0.004766683391871551,236,-0.000595624162231129,0.002588977214764633,-0.02608397672299022,2000,-0.08883826879271069,-0.03614457831325301,-0.012345679012345678,1.3015,0.06758248424889998,-0.03360227816902323,0.00030359543739206423,---,---,---,---,2056,0.008337420304070623,0.012807881773399015,0.06034038164002063,1.3940000000000001,0.005772005772005777,0.010144927536231894,0.04812030075187957
5,92504,zipcode,All Homes,376100,-0.0002658160552897395,0.004272363150867824,0.04559355018070614,0.0796,0.069,0.1451,-0.0008247075654299963,0.009351432880844009,0.03666430427592701,272,0,0.007407407407407408,0.0421455938697318,0.0257,0.005031892796199399,0.002192222988080599,0.0042347393620089015,380000,-2.631578947368421e-05,-0.013012987012987011,-0.04978744686171543,---,---,---,---,265,0.01022297589229137,0.02831815119990704,0.04474877620728049,2000,0.0015060240963855422,0.023076923076923078,0.0377113133940182,---,---,---,---,---,---,---,---,1978,0.0066157760814249365,0.012800819252432157,0.07034632034632035,1.4260000000000002,0.002812939521800284,0.005641748942172078,0.05786350148367941
6,92505,zipcode,All Homes,402900,-0.0012394645513138325,0.00599250936329588,0.046493506493506497,0.0765,0.0661,0.15480000000000002,-9.086778737000146e-05,-0.050079323109466,0.0004269449715370044,267,0.0037593984962406013,0.007547169811320756,0.047058823529411764,0.0181,-0.0076688537390032,7.576911997880131e-05,-0.0031603369098960974,425000,0.011892857142857143,0.012133841390807336,0.0624875,402500,0.0192453785768549,-0.017573834513058335,0.01054481546572935,246,-0.028681796416022046,-0.02042473124569024,0.0183998983085972,2130,-0.009767441860465116,-0.006301050175029172,0.06609914872308463,1.3277,0.04815059619309836,0.12962712560027456,0.01952457484250043,---,---,---,---,2073,0.007288629737609329,0.012701514411333659,0.05281868969019807,1.3940000000000001,0.004322766570605191,0.008683068017366144,0.04185351270553051
7,92506,zipcode,All Homes,454600,-0.0019758507135016466,0.0008806693086745928,0.025953509365831642,0.055900000000000005,0.047900000000000005,0.1993,0.06212859925316598,0.037658579438285995,0.013745704467353974,260,0,0,0.023622047244094488,0.0221,-0.00023848497875610163,-0.0011533398040305,-0.003684821211306799,482500,0.015896410148436676,-0.024266936299292215,-0.035,451100,-0.0013283152534868275,-0.01656856333115326,-0.0057306590257879654,263,-0.00016842500456036087,0.042908576493382415,0.04229840196753793,2050,-0.07874015748031496,-0.025,-0.06719817767653759,1.4163000000000001,0.07562848968198224,0.0820806869134299,0.1161006312329564,---,---,---,---,2205,0.00823045267489712,0.012861736334405145,0.041076487252124656,1.274,0.004731861198738175,0.007911392405063299,0.03745928338762218
8,92507,zipcode,All Homes,376200,-0.0055511498810467885,-0.007911392405063292,0.03750689464975179,0.0757,0.0546,0.1258,-4.6311304590016536e-05,-0.044384951387910994,0.031488191928026585,255,0,0,0.032388663967611336,0.026000000000000002,0.0009619899171624002,0.011590917709688599,0.0029767917444908985,417000,0.07749354005167959,0.045087719298245614,0.06920512820512821,348800,-0.013295615275813294,0.018394160583941607,0.029212156978459723,236,-0.061213916326482105,-0.04594420782742989,0.032190510378137464,1920,0.06805555555555555,0.05342465753424658,0.10647482014388489,1.4716,0.05195013562835618,0.06437224832767066,0.04109835334272071,---,---,---,---,2001,0.007045797684952188,0.01419158641662443,0.0910577971646674,1.3900000000000001,0.00578871201157743,0.011644832605531143,0.07418856259659959
9,92508,zipcode,All Homes,495800,-0.003417085427135678,-0.003417085427135678,0.01869734949660982,0.051500000000000004,0.050100000000000006,0.11950000000000001,0.01390679323411101,-0.085982596708883,-0.028230417381360996,212,0,0.004739336492890996,0.019230769230769232,0.013800000000000002,-0.0015195557145403992,-0.004906547124763199,-0.002546685583989199,515000,-0.009434506635891517,0.007165612880893199,-9.70873786407767e-06,481500,-0.0037243947858473,0.005429108373355607,0.021859083191850596,216,0.0022508379318214957,0.07514057772354323,0.10017825284598962,2450,-0.02,0.0481283422459893,0.06521739130434782,0.9921000000000001,0.017528469061219853,-0.03653899272227685,-0.06176019716404975,1.09,---,---,---,2419,0.006658343736995423,0.012557555462536627,0.032877882152006835,1.038,0.0077669902912621425,0.011695906432748548,0.019646365422396873
